2011-09-16 21:02:25 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 60]
2011-09-16 21:02:25 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 66]
2011-09-16 21:02:25 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 71]
2011-09-16 21:02:25 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 76]
2011-09-16 21:02:25 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 81]
2011-09-16 21:02:51 Notice: Notice (8): Undefined variable: Products in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 12]
2011-09-16 21:02:51 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 20]
2011-09-16 21:02:51 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 25]
2011-09-16 21:02:51 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 30]
2011-09-16 21:02:51 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 35]
2011-09-16 21:02:51 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 40]
2011-09-16 21:02:51 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 45]
2011-09-16 21:02:51 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 50]
2011-09-16 21:02:51 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 55]
2011-09-16 21:02:51 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 60]
2011-09-16 21:02:51 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 66]
2011-09-16 21:02:51 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 71]
2011-09-16 21:02:51 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 76]
